team1Name,team2Name,week,day,start,end,season,league,location
Ericbury Wildcats,Cindyfurt Hawks,16,1,13.0,15.0,2024,Platinum League,Ashleytown Grounds Field #1
New Cindy Bucaneers,New Paulfort Chargers,16,4,11.0,13.0,2024,Platinum League,Susanburgh Plaza Field #1
New Rachel Jacks,Joshuabury Pirates,16,7,2.0,4.0,2024,Platinum League,Ashleytown Grounds Field #1
Jenniferborough Mavericks,Potterberg Mavericks,16,1,11.0,13.0,2024,Platinum League,Ashleytown Grounds Field #1
Coxfurt Pirates,New Deborahmouth Dolphins,16,1,7.0,9.0,2024,Platinum League,Ashleytown Grounds Field #1
Debraton Bulls,Anitaberg Bobcats,16,1,15.0,17.0,2024,Platinum League,Ashleytown Grounds Field #1
Ericbury Wildcats,New Cindy Bucaneers,16,1,3.5,5.5,2024,Platinum League,Ashleytown Grounds Field #1
New Rachel Jacks,Cindyfurt Hawks,16,1,17.0,19.0,2024,Platinum League,Ashleytown Grounds Field #1
Jenniferborough Mavericks,New Paulfort Chargers,16,1,19.0,21.0,2024,Platinum League,Ashleytown Grounds Field #1
Coxfurt Pirates,Joshuabury Pirates,16,1,9.0,11.0,2024,Platinum League,Ashleytown Grounds Field #1
Debraton Bulls,Potterberg Mavericks,16,1,14.5,16.5,2024,Platinum League,Ashleytown Grounds Field #2
Anitaberg Bobcats,New Deborahmouth Dolphins,16,1,21.0,23.0,2024,Platinum League,Ashleytown Grounds Field #1
Ericbury Wildcats,New Rachel Jacks,16,1,14.0,16.0,2024,Platinum League,Ashleytown Grounds Field #3
Jenniferborough Mavericks,New Cindy Bucaneers,16,2,5.0,7.0,2024,Platinum League,Ashleytown Grounds Field #1
Coxfurt Pirates,Cindyfurt Hawks,16,2,7.5,9.5,2024,Platinum League,Ashleytown Grounds Field #1
Debraton Bulls,New Paulfort Chargers,16,4,13.0,15.0,2024,Platinum League,Susanburgh Plaza Field #1
Anitaberg Bobcats,Joshuabury Pirates,16,1,7.0,9.0,2024,Platinum League,Ashleytown Grounds Field #2
New Deborahmouth Dolphins,Potterberg Mavericks,16,1,9.0,11.0,2024,Platinum League,Ashleytown Grounds Field #2
Ericbury Wildcats,Jenniferborough Mavericks,17,1,11.0,13.0,2024,Platinum League,Ashleytown Grounds Field #1
Coxfurt Pirates,New Rachel Jacks,17,2,9.0,11.0,2024,Platinum League,Ashleytown Grounds Field #1
Debraton Bulls,New Cindy Bucaneers,17,2,7.0,9.0,2024,Platinum League,Ashleytown Grounds Field #1
Anitaberg Bobcats,Cindyfurt Hawks,17,1,13.0,15.0,2024,Platinum League,Ashleytown Grounds Field #1
New Deborahmouth Dolphins,New Paulfort Chargers,17,1,9.0,11.0,2024,Platinum League,Ashleytown Grounds Field #1
Potterberg Mavericks,Joshuabury Pirates,17,1,7.0,9.0,2024,Platinum League,Ashleytown Grounds Field #1
Ericbury Wildcats,Coxfurt Pirates,17,1,7.0,9.0,2024,Platinum League,Ashleytown Grounds Field #2
Debraton Bulls,Jenniferborough Mavericks,17,1,15.0,17.0,2024,Platinum League,Ashleytown Grounds Field #1
Anitaberg Bobcats,New Rachel Jacks,17,1,17.0,19.0,2024,Platinum League,Ashleytown Grounds Field #1
New Deborahmouth Dolphins,New Cindy Bucaneers,17,1,19.0,21.0,2024,Platinum League,Ashleytown Grounds Field #1
Potterberg Mavericks,Cindyfurt Hawks,17,1,13.0,15.0,2024,Platinum League,Ashleytown Grounds Field #2
Joshuabury Pirates,New Paulfort Chargers,17,1,9.0,11.0,2024,Platinum League,Ashleytown Grounds Field #2
Ericbury Wildcats,Debraton Bulls,17,1,15.0,17.0,2024,Platinum League,Ashleytown Grounds Field #2
Anitaberg Bobcats,Coxfurt Pirates,17,1,11.0,13.0,2024,Platinum League,Ashleytown Grounds Field #2
New Deborahmouth Dolphins,Jenniferborough Mavericks,17,1,21.0,23.0,2024,Platinum League,Ashleytown Grounds Field #1
Potterberg Mavericks,New Rachel Jacks,17,1,17.0,19.0,2024,Platinum League,Ashleytown Grounds Field #2
Joshuabury Pirates,New Cindy Bucaneers,17,1,7.0,9.0,2024,Platinum League,Ashleytown Grounds Field #3
New Paulfort Chargers,Cindyfurt Hawks,17,3,9.0,11.0,2024,Platinum League,Susanburgh Plaza Field #1
Ericbury Wildcats,Anitaberg Bobcats,18,1,3.5,5.5,2024,Platinum League,Ashleytown Grounds Field #1
New Deborahmouth Dolphins,Debraton Bulls,18,1,14.5,16.5,2024,Platinum League,Ashleytown Grounds Field #1
Potterberg Mavericks,Coxfurt Pirates,18,1,7.0,9.0,2024,Platinum League,Ashleytown Grounds Field #1
Joshuabury Pirates,Jenniferborough Mavericks,18,1,11.0,13.0,2024,Platinum League,Ashleytown Grounds Field #1
New Paulfort Chargers,New Rachel Jacks,18,2,15.0,17.0,2024,Platinum League,Ashleytown Grounds Field #1
Cindyfurt Hawks,New Cindy Bucaneers,18,2,4.0,6.0,2024,Platinum League,Ashleytown Grounds Field #1
Ericbury Wildcats,New Deborahmouth Dolphins,18,1,9.0,11.0,2024,Platinum League,Ashleytown Grounds Field #1
Potterberg Mavericks,Anitaberg Bobcats,18,1,16.5,18.5,2024,Platinum League,Ashleytown Grounds Field #1
Joshuabury Pirates,Debraton Bulls,18,5,3.5,5.5,2024,Platinum League,Ashleytown Grounds Field #1
New Paulfort Chargers,Coxfurt Pirates,18,2,15.0,17.0,2024,Platinum League,Ashleytown Grounds Field #2
Cindyfurt Hawks,Jenniferborough Mavericks,18,1,18.5,20.5,2024,Platinum League,Ashleytown Grounds Field #1
New Cindy Bucaneers,New Rachel Jacks,18,2,9.0,11.0,2024,Platinum League,Ashleytown Grounds Field #1
Ericbury Wildcats,Potterberg Mavericks,18,1,4.5,6.5,2024,Platinum League,Ashleytown Grounds Field #2
Joshuabury Pirates,New Deborahmouth Dolphins,18,1,20.5,22.5,2024,Platinum League,Ashleytown Grounds Field #1
New Paulfort Chargers,Anitaberg Bobcats,18,1,9.0,11.0,2024,Platinum League,Ashleytown Grounds Field #2
Cindyfurt Hawks,Debraton Bulls,18,1,14.5,16.5,2024,Platinum League,Ashleytown Grounds Field #2
New Cindy Bucaneers,Coxfurt Pirates,18,2,11.0,13.0,2024,Platinum League,Ashleytown Grounds Field #1
New Rachel Jacks,Jenniferborough Mavericks,18,1,16.5,18.5,2024,Platinum League,Ashleytown Grounds Field #2
Ericbury Wildcats,Joshuabury Pirates,19,1,7.0,9.0,2024,Platinum League,Ashleytown Grounds Field #1
New Paulfort Chargers,Potterberg Mavericks,19,1,9.0,11.0,2024,Platinum League,Ashleytown Grounds Field #1
Cindyfurt Hawks,New Deborahmouth Dolphins,19,1,13.0,15.0,2024,Platinum League,Ashleytown Grounds Field #1
New Cindy Bucaneers,Anitaberg Bobcats,19,1,3.0,5.0,2024,Platinum League,Ashleytown Grounds Field #1
New Rachel Jacks,Debraton Bulls,19,1,15.0,17.0,2024,Platinum League,Ashleytown Grounds Field #1
Jenniferborough Mavericks,Coxfurt Pirates,19,2,7.5,9.5,2024,Platinum League,Ashleytown Grounds Field #1
Ericbury Wildcats,New Paulfort Chargers,19,1,11.0,13.0,2024,Platinum League,Ashleytown Grounds Field #1
Cindyfurt Hawks,Joshuabury Pirates,19,3,15.0,17.0,2024,Platinum League,Susanburgh Plaza Field #1
New Cindy Bucaneers,Potterberg Mavericks,19,1,5.0,7.0,2024,Platinum League,Ashleytown Grounds Field #1
New Rachel Jacks,New Deborahmouth Dolphins,19,1,17.0,19.0,2024,Platinum League,Ashleytown Grounds Field #1
Jenniferborough Mavericks,Anitaberg Bobcats,19,1,19.0,21.0,2024,Platinum League,Ashleytown Grounds Field #1
Coxfurt Pirates,Debraton Bulls,19,2,9.5,11.5,2024,Platinum League,Ashleytown Grounds Field #1
Ericbury Wildcats,Cindyfurt Hawks,19,1,13.0,15.0,2024,Platinum League,Ashleytown Grounds Field #2
New Cindy Bucaneers,New Paulfort Chargers,19,4,11.0,13.0,2024,Platinum League,Susanburgh Plaza Field #1
New Rachel Jacks,Joshuabury Pirates,19,7,2.0,4.0,2024,Platinum League,Ashleytown Grounds Field #1
Jenniferborough Mavericks,Potterberg Mavericks,19,1,21.0,23.0,2024,Platinum League,Ashleytown Grounds Field #1
Coxfurt Pirates,New Deborahmouth Dolphins,19,1,7.0,9.0,2024,Platinum League,Ashleytown Grounds Field #2
Debraton Bulls,Anitaberg Bobcats,19,1,15.0,17.0,2024,Platinum League,Ashleytown Grounds Field #2
Maloneport Rappers,North Martinstad Robbers,16,1,16.5,18.5,2024,Obsidian League,Ashleytown Grounds Field #2
New Christopherburgh Hawks,Bennettport Sabres,16,3,14.0,16.0,2024,Obsidian League,Susanburgh Plaza Field #1
Sarahside Celtics,Woodland Hawks,16,1,4.0,6.0,2024,Obsidian League,Ashleytown Grounds Field #2
Gardnerstad Sabres,Port Cameronmouth Sox,16,7,14.5,16.5,2024,Obsidian League,Ashleytown Grounds Field #1
South Mason Bucaneers,Fisherborough Robbers,16,1,11.0,13.0,2024,Obsidian League,Ashleytown Grounds Field #2
East Kristina Westerners,Calebmouth Dolphins,16,2,9.5,11.5,2024,Obsidian League,Ashleytown Grounds Field #1
North Rebeccachester Bobcats,South Michelle Warriors,16,1,9.0,11.0,2024,Obsidian League,Ashleytown Grounds Field #3
Lake Terrence Dolphins,Port Jamesburgh Warriors,16,4,6.5,8.5,2024,Obsidian League,Susanburgh Plaza Field #1
Maloneport Rappers,New Christopherburgh Hawks,17,2,11.0,13.0,2024,Obsidian League,Ashleytown Grounds Field #1
Sarahside Celtics,North Martinstad Robbers,17,2,13.0,15.0,2024,Obsidian League,Ashleytown Grounds Field #1
Gardnerstad Sabres,Bennettport Sabres,17,7,4.5,6.5,2024,Obsidian League,Ashleytown Grounds Field #1
South Mason Bucaneers,Woodland Hawks,17,1,10.0,12.0,2024,Obsidian League,Ashleytown Grounds Field #3
East Kristina Westerners,Port Cameronmouth Sox,17,2,15.0,17.0,2024,Obsidian League,Ashleytown Grounds Field #1
North Rebeccachester Bobcats,Fisherborough Robbers,17,1,12.0,14.0,2024,Obsidian League,Ashleytown Grounds Field #3
Lake Terrence Dolphins,Calebmouth Dolphins,17,2,17.0,19.0,2024,Obsidian League,Ashleytown Grounds Field #1
Port Jamesburgh Warriors,South Michelle Warriors,17,3,12.0,14.0,2024,Obsidian League,Susanburgh Plaza Field #1
Maloneport Rappers,Sarahside Celtics,18,2,13.0,15.0,2024,Obsidian League,Ashleytown Grounds Field #1
Gardnerstad Sabres,New Christopherburgh Hawks,18,2,6.0,8.0,2024,Obsidian League,Ashleytown Grounds Field #1
South Mason Bucaneers,North Martinstad Robbers,18,2,17.0,19.0,2024,Obsidian League,Ashleytown Grounds Field #1
East Kristina Westerners,Bennettport Sabres,18,2,19.0,21.0,2024,Obsidian League,Ashleytown Grounds Field #1
North Rebeccachester Bobcats,Woodland Hawks,18,1,11.0,13.0,2024,Obsidian League,Ashleytown Grounds Field #2
Lake Terrence Dolphins,Port Cameronmouth Sox,18,1,18.5,20.5,2024,Obsidian League,Ashleytown Grounds Field #2
Port Jamesburgh Warriors,Fisherborough Robbers,18,2,2.5,4.5,2024,Obsidian League,Ashleytown Grounds Field #2
South Michelle Warriors,Calebmouth Dolphins,18,1,7.5,9.5,2024,Obsidian League,Ashleytown Grounds Field #3
Maloneport Rappers,Gardnerstad Sabres,19,3,10.0,12.0,2024,Obsidian League,Susanburgh Plaza Field #1
South Mason Bucaneers,Sarahside Celtics,19,2,11.5,13.5,2024,Obsidian League,Ashleytown Grounds Field #1
East Kristina Westerners,New Christopherburgh Hawks,19,2,3.5,5.5,2024,Obsidian League,Ashleytown Grounds Field #1
North Rebeccachester Bobcats,North Martinstad Robbers,19,2,13.5,15.5,2024,Obsidian League,Ashleytown Grounds Field #1
Lake Terrence Dolphins,Bennettport Sabres,19,1,11.0,13.0,2024,Obsidian League,Ashleytown Grounds Field #2
Port Jamesburgh Warriors,Woodland Hawks,19,2,7.5,9.5,2024,Obsidian League,Ashleytown Grounds Field #2
South Michelle Warriors,Port Cameronmouth Sox,19,1,17.0,19.0,2024,Obsidian League,Ashleytown Grounds Field #2
Calebmouth Dolphins,Fisherborough Robbers,19,1,9.0,11.0,2024,Obsidian League,Ashleytown Grounds Field #2
Maloneport Rappers,South Mason Bucaneers,20,2,10.5,12.5,2024,Obsidian League,Ashleytown Grounds Field #1
East Kristina Westerners,Gardnerstad Sabres,20,3,10.0,12.0,2024,Obsidian League,Susanburgh Plaza Field #1
North Rebeccachester Bobcats,Sarahside Celtics,20,2,12.5,14.5,2024,Obsidian League,Ashleytown Grounds Field #1
Lake Terrence Dolphins,New Christopherburgh Hawks,20,1,12.0,14.0,2024,Obsidian League,Ashleytown Grounds Field #1
Port Jamesburgh Warriors,North Martinstad Robbers,20,3,12.0,14.0,2024,Obsidian League,Susanburgh Plaza Field #1
South Michelle Warriors,Bennettport Sabres,20,1,9.0,11.0,2024,Obsidian League,Ashleytown Grounds Field #1
Calebmouth Dolphins,Woodland Hawks,20,1,14.0,16.0,2024,Obsidian League,Ashleytown Grounds Field #1
Fisherborough Robbers,Port Cameronmouth Sox,20,3,6.5,8.5,2024,Obsidian League,Susanburgh Plaza Field #1
Maloneport Rappers,East Kristina Westerners,21,2,10.5,12.5,2024,Obsidian League,Ashleytown Grounds Field #1
North Rebeccachester Bobcats,South Mason Bucaneers,21,1,10.0,12.0,2024,Obsidian League,Ashleytown Grounds Field #1
Lake Terrence Dolphins,Gardnerstad Sabres,21,7,4.0,6.0,2024,Obsidian League,Ashleytown Grounds Field #1
Port Jamesburgh Warriors,Sarahside Celtics,21,4,6.5,8.5,2024,Obsidian League,Susanburgh Plaza Field #1
South Michelle Warriors,New Christopherburgh Hawks,21,1,12.0,14.0,2024,Obsidian League,Ashleytown Grounds Field #1
Calebmouth Dolphins,North Martinstad Robbers,21,2,12.5,14.5,2024,Obsidian League,Ashleytown Grounds Field #1
Fisherborough Robbers,Bennettport Sabres,21,1,9.0,11.0,2024,Obsidian League,Ashleytown Grounds Field #2
Port Cameronmouth Sox,Woodland Hawks,21,1,16.0,18.0,2024,Obsidian League,Ashleytown Grounds Field #1
Maloneport Rappers,North Rebeccachester Bobcats,22,2,12.5,14.5,2024,Obsidian League,Ashleytown Grounds Field #1
Lake Terrence Dolphins,East Kristina Westerners,22,2,14.5,16.5,2024,Obsidian League,Ashleytown Grounds Field #1
Port Jamesburgh Warriors,South Mason Bucaneers,22,4,6.5,8.5,2024,Obsidian League,Susanburgh Plaza Field #1
South Michelle Warriors,Gardnerstad Sabres,22,3,10.0,12.0,2024,Obsidian League,Susanburgh Plaza Field #1
Calebmouth Dolphins,Sarahside Celtics,22,2,8.5,10.5,2024,Obsidian League,Ashleytown Grounds Field #1
Fisherborough Robbers,New Christopherburgh Hawks,22,1,12.0,14.0,2024,Obsidian League,Ashleytown Grounds Field #1
Port Cameronmouth Sox,North Martinstad Robbers,22,1,16.0,18.0,2024,Obsidian League,Ashleytown Grounds Field #1
Woodland Hawks,Bennettport Sabres,22,1,9.0,11.0,2024,Obsidian League,Ashleytown Grounds Field #1
Maloneport Rappers,Lake Terrence Dolphins,23,1,16.5,18.5,2024,Obsidian League,Ashleytown Grounds Field #1
Port Jamesburgh Warriors,North Rebeccachester Bobcats,23,3,12.0,14.0,2024,Obsidian League,Susanburgh Plaza Field #1
South Michelle Warriors,East Kristina Westerners,23,1,4.5,6.5,2024,Obsidian League,Ashleytown Grounds Field #1
Calebmouth Dolphins,South Mason Bucaneers,23,2,9.0,11.0,2024,Obsidian League,Ashleytown Grounds Field #1
Fisherborough Robbers,Gardnerstad Sabres,23,2,2.5,4.5,2024,Obsidian League,Ashleytown Grounds Field #1
Port Cameronmouth Sox,Sarahside Celtics,23,2,11.5,13.5,2024,Obsidian League,Ashleytown Grounds Field #1
Woodland Hawks,New Christopherburgh Hawks,23,1,12.0,14.0,2024,Obsidian League,Ashleytown Grounds Field #1
Bennettport Sabres,North Martinstad Robbers,23,2,14.0,16.0,2024,Obsidian League,Ashleytown Grounds Field #1
Maloneport Rappers,Port Jamesburgh Warriors,24,7,7.5,9.5,2024,Obsidian League,Ashleytown Grounds Field #1
South Michelle Warriors,Lake Terrence Dolphins,24,1,11.0,13.0,2024,Obsidian League,Ashleytown Grounds Field #1
Calebmouth Dolphins,North Rebeccachester Bobcats,24,1,9.0,11.0,2024,Obsidian League,Ashleytown Grounds Field #1
Fisherborough Robbers,East Kristina Westerners,24,1,4.5,6.5,2024,Obsidian League,Ashleytown Grounds Field #1
Port Cameronmouth Sox,South Mason Bucaneers,24,2,11.5,13.5,2024,Obsidian League,Ashleytown Grounds Field #1
Woodland Hawks,Gardnerstad Sabres,24,7,4.0,6.0,2024,Obsidian League,Ashleytown Grounds Field #1
Bennettport Sabres,Sarahside Celtics,24,2,14.0,16.0,2024,Obsidian League,Ashleytown Grounds Field #1
North Martinstad Robbers,New Christopherburgh Hawks,24,1,15.0,17.0,2024,Obsidian League,Ashleytown Grounds Field #1
Maloneport Rappers,South Michelle Warriors,25,1,16.5,18.5,2024,Obsidian League,Ashleytown Grounds Field #1
Calebmouth Dolphins,Port Jamesburgh Warriors,25,3,12.0,14.0,2024,Obsidian League,Susanburgh Plaza Field #1
Fisherborough Robbers,Lake Terrence Dolphins,25,1,11.0,13.0,2024,Obsidian League,Ashleytown Grounds Field #1
Port Cameronmouth Sox,North Rebeccachester Bobcats,25,2,12.5,14.5,2024,Obsidian League,Ashleytown Grounds Field #1
Woodland Hawks,East Kristina Westerners,25,1,4.0,6.0,2024,Obsidian League,Ashleytown Grounds Field #1
Bennettport Sabres,South Mason Bucaneers,25,1,10.0,12.0,2024,Obsidian League,Ashleytown Grounds Field #2
North Martinstad Robbers,Gardnerstad Sabres,25,3,10.0,12.0,2024,Obsidian League,Susanburgh Plaza Field #1
New Christopherburgh Hawks,Sarahside Celtics,25,2,8.5,10.5,2024,Obsidian League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,Bergfurt Hawks,16,4,2.5,4.5,2024,Diamond League,Ashleytown Grounds Field #1
Wilkinsbury Commandos,Richardborough Bears,16,1,18.5,20.5,2024,Diamond League,Ashleytown Grounds Field #2
Taylorstad Wildcats,North Jamesside Rappers,16,1,7.5,9.5,2024,Diamond League,Susanburgh Plaza Field #1
Kellyhaven Vikings,Villaton Rappers,16,4,4.5,6.5,2024,Diamond League,Ashleytown Grounds Field #1
Port Michellehaven Mavericks,Jenniferport Commandos,16,3,3.0,5.0,2024,Diamond League,Susanburgh Plaza Field #1
West Martinton Dolphins,Clairefort Hornets,16,1,11.0,13.0,2024,Diamond League,Ashleytown Grounds Field #3
Port Loganberg Warriors,New Gina Pirates,16,1,4.0,6.0,2024,Diamond League,Ashleytown Grounds Field #3
West Ronald Jacks,North Melissa Pirates,16,2,15.5,17.5,2024,Diamond League,Ashleytown Grounds Field #1
Weaverview Jacks,East Brittneyfurt Americans,16,1,20.5,22.5,2024,Diamond League,Ashleytown Grounds Field #2
Carlsonview Grizzlies,North Nicholas Warriors,16,1,6.0,8.0,2024,Diamond League,Ashleytown Grounds Field #3
Jamesburgh Sox,Brianburgh Pirates,16,3,16.0,18.0,2024,Diamond League,Susanburgh Plaza Field #1
West Markstad Sox,New Alexandraview Celtics,16,1,16.0,18.0,2024,Diamond League,Ashleytown Grounds Field #3
Hatfieldfurt Bears,Wilkinsbury Commandos,16,1,18.0,20.0,2024,Diamond League,Ashleytown Grounds Field #3
Taylorstad Wildcats,Bergfurt Hawks,16,1,1.0,3.0,2024,Diamond League,Ashleytown Grounds Field #1
Kellyhaven Vikings,Richardborough Bears,16,3,7.5,9.5,2024,Diamond League,Susanburgh Plaza Field #1
Port Michellehaven Mavericks,North Jamesside Rappers,16,1,9.5,11.5,2024,Diamond League,Susanburgh Plaza Field #1
West Martinton Dolphins,Villaton Rappers,16,4,6.5,8.5,2024,Diamond League,Ashleytown Grounds Field #1
Port Loganberg Warriors,Jenniferport Commandos,16,5,2.5,4.5,2024,Diamond League,Ashleytown Grounds Field #1
West Ronald Jacks,Clairefort Hornets,16,1,11.5,13.5,2024,Diamond League,Susanburgh Plaza Field #1
Weaverview Jacks,New Gina Pirates,16,1,20.0,22.0,2024,Diamond League,Ashleytown Grounds Field #3
Carlsonview Grizzlies,North Melissa Pirates,16,2,15.5,17.5,2024,Diamond League,Ashleytown Grounds Field #2
Jamesburgh Sox,East Brittneyfurt Americans,16,3,18.0,20.0,2024,Diamond League,Susanburgh Plaza Field #1
West Markstad Sox,North Nicholas Warriors,16,2,12.0,14.0,2024,Diamond League,Ashleytown Grounds Field #1
New Alexandraview Celtics,Brianburgh Pirates,16,1,4.0,6.0,2024,Diamond League,Susanburgh Plaza Field #1
Hatfieldfurt Bears,Taylorstad Wildcats,17,1,14.0,16.0,2024,Diamond League,Ashleytown Grounds Field #3
Port Michellehaven Mavericks,Bergfurt Hawks,17,2,3.0,5.0,2024,Diamond League,Ashleytown Grounds Field #1
West Martinton Dolphins,Richardborough Bears,17,1,19.0,21.0,2024,Diamond League,Ashleytown Grounds Field #2
Port Loganberg Warriors,North Jamesside Rappers,17,1,16.0,18.0,2024,Diamond League,Ashleytown Grounds Field #3
Weaverview Jacks,Jenniferport Commandos,17,2,19.0,21.0,2024,Diamond League,Ashleytown Grounds Field #1
Carlsonview Grizzlies,Clairefort Hornets,17,1,21.0,23.0,2024,Diamond League,Ashleytown Grounds Field #2
Jamesburgh Sox,New Gina Pirates,17,2,17.0,19.0,2024,Diamond League,Ashleytown Grounds Field #2
West Markstad Sox,North Melissa Pirates,17,2,19.0,21.0,2024,Diamond League,Ashleytown Grounds Field #2
New Alexandraview Celtics,East Brittneyfurt Americans,17,1,18.0,20.0,2024,Diamond League,Ashleytown Grounds Field #3
Brianburgh Pirates,North Nicholas Warriors,17,1,4.0,6.0,2024,Diamond League,Ashleytown Grounds Field #1
Hatfieldfurt Bears,Kellyhaven Vikings,17,2,16.5,18.5,2024,Diamond League,Ashleytown Grounds Field #3
Port Michellehaven Mavericks,Taylorstad Wildcats,17,1,7.0,9.0,2024,Diamond League,Susanburgh Plaza Field #1
West Martinton Dolphins,Wilkinsbury Commandos,17,1,20.0,22.0,2024,Diamond League,Ashleytown Grounds Field #3
Port Loganberg Warriors,Bergfurt Hawks,17,1,3.5,5.5,2024,Diamond League,Ashleytown Grounds Field #2
West Ronald Jacks,Richardborough Bears,17,1,10.0,12.0,2024,Diamond League,Susanburgh Plaza Field #1
Weaverview Jacks,North Jamesside Rappers,17,2,10.0,12.0,2024,Diamond League,Ashleytown Grounds Field #2
Carlsonview Grizzlies,Villaton Rappers,17,1,3.0,5.0,2024,Diamond League,Ashleytown Grounds Field #3
Jamesburgh Sox,Jenniferport Commandos,17,2,18.5,20.5,2024,Diamond League,Ashleytown Grounds Field #3
West Markstad Sox,Clairefort Hornets,17,2,12.0,14.0,2024,Diamond League,Ashleytown Grounds Field #2
New Alexandraview Celtics,New Gina Pirates,17,1,5.0,7.0,2024,Diamond League,Ashleytown Grounds Field #3
Brianburgh Pirates,North Melissa Pirates,17,3,14.0,16.0,2024,Diamond League,Susanburgh Plaza Field #1
North Nicholas Warriors,East Brittneyfurt Americans,17,1,12.0,14.0,2024,Diamond League,Susanburgh Plaza Field #1
Hatfieldfurt Bears,Port Michellehaven Mavericks,18,1,9.5,11.5,2024,Diamond League,Ashleytown Grounds Field #3
West Martinton Dolphins,Kellyhaven Vikings,18,1,6.5,8.5,2024,Diamond League,Ashleytown Grounds Field #2
